Episode,Rating,Votes
S29E09,7.3,755
S29E10,6.5,671
S29E11,6.2,594
S29E12,6.6,627
S29E13,6.6,580
S29E14,6.0,547
S29E15,6.4,557
S29E16,6.3,522
S29E17,6.7,605
S29E18,7.0,597
S29E19,6.6,559
S29E20,6.7,621
S29E21,7.6,844
S30E01,6.2,804
S30E02,6.0,699
S30E03,6.1,670
S30E04,5.9,751
S30E05,7.0,615
S30E06,6.5,579
S30E07,5.6,685
S30E08,6.4,557
S30E09,6.7,557
S30E10,6.7,552
S30E11,5.5,662
S30E12,6.3,581
S30E13,6.9,547
S30E14,6.1,509
S30E15,6.4,465
S30E16,5.7,486
S30E17,6.3,529
S30E18,4.5,1040
S30E19,6.3,517
S30E20,5.3,515
S30E21,5.3,627
S30E22,6.0,509
S30E23,5.9,484
S31E01,5.7,697
S31E02,5.9,606
S31E03,6.5,524
S31E04,6.9,673
S31E05,6.2,480
S31E06,5.4,560
S31E07,6.3,524
S31E08,7.3,655
S31E09,6.5,588
S31E10,6.6,437
S31E11,6.0,407
S31E12,6.6,409
S31E13,5.9,379
S31E14,7.3,503
S31E15,6.5,377
S31E16,6.5,363
S31E17,7.0,420
S31E18,6.3,350
S31E19,6.0,432
S31E20,5.8,397
S31E21,6.7,380
S31E22,7.4,419
S32E01,6.4,388
S32E02,6.8,346
S32E03,5.5,297
S32E04,5.9,472
S32E05,5.7,267
S32E06,6.9,222
S32E07,6.2,204
S32E08,6.5,214
S32E09,6.6,167
S32E10,6.2,152
